FlightID,Type,Priority,ArrivalMs,ServiceMs,TRequested,TGranted,TStarted,TFinished,WaitMs,SchedulerDelayMs,RunwayTimeMs
0,LAND,EMERGENCY,171,662,13282068,13282069,13285170,13285835,3102,1,665
1,LAND,NORMAL,480,330,13282378,13282379,13294505,13294836,12127,1,331
2,TAKEOFF,NORMAL,221,254,13282120,13282121,13286369,13286625,4249,1,256
3,TAKEOFF,NORMAL,320,552,13282219,13282221,13288887,13289442,6668,2,555
4,TAKEOFF,EMERGENCY,414,780,13282313,13282313,13292383,13293169,10070,0,786
5,LAND,NORMAL,233,285,13282132,13282133,13287159,13287446,5027,1,287
6,LAND,NORMAL,339,552,13282239,13282239,13289442,13290001,7203,0,559
7,TAKEOFF,NORMAL,322,407,13282222,13282223,13289240,13289651,7018,1,411
8,TAKEOFF,NORMAL,426,789,13282328,13282328,13292874,13293672,10546,0,798
9,TAKEOFF,NORMAL,385,669,13282286,13282286,13290959,13291633,8673,0,674
10,TAKEOFF,NORMAL,132,652,13282034,13282035,13284121,13284774,2087,1,653
11,TAKEOFF,NORMAL,215,417,13282118,13282121,13286132,13286552,4014,3,420
12,TAKEOFF,NORMAL,400,748,13282303,13282303,13291633,13292382,9330,0,749
13,TAKEOFF,NORMAL,401,767,13282304,13282305,13292097,13292874,9793,1,777
14,LAND,NORMAL,178,628,13282082,13282084,13285502,13286131,3420,2,629
15,TAKEOFF,NORMAL,97,485,13282002,13282003,13283349,13283844,1347,1,495
16,LAND,NORMAL,251,408,13282157,13282158,13287346,13287760,5189,1,414
17,TAKEOFF,NORMAL,289,260,13282196,13282198,13288177,13288440,5981,2,263
18,LAND,EMERGENCY,455,582,13282363,13282364,13293919,13294505,11556,1,586
19,LAND,NORMAL,31,426,13281939,13281940,13281940,13282367,1,1,427
20,TAKEOFF,NORMAL,341,514,13282250,13282251,13289652,13290170,7402,1,518
21,TAKEOFF,NORMAL,131,526,13282042,13282043,13284635,13285169,2593,1,534
22,TAKEOFF,NORMAL,498,693,13282410,13282411,13294836,13295530,12426,1,694
23,LAND,NORMAL,50,269,13281963,13281963,13283078,13283349,1115,0,271
24,TAKEOFF,NORMAL,27,701,13281940,13281940,13281940,13282646,0,0,706
25,LAND,NORMAL,450,697,13282364,13282365,13294093,13294791,11729,1,698
26,LAND,NORMAL,268,451,13282184,13282185,13287447,13287901,5263,1,454
27,TAKEOFF,NORMAL,368,691,13282284,13282284,13290738,13291430,8454,0,692
28,TAKEOFF,NORMAL,95,273,13282012,13282012,13283845,13284120,1833,0,275
29,LAND,NORMAL,138,331,13282055,13282057,13285170,13285501,3115,2,331
30,TAKEOFF,NORMAL,351,725,13282270,13282270,13290001,13290737,7731,0,736
31,TAKEOFF,NORMAL,368,657,13282287,13282287,13291431,13292097,9144,0,666
32,TAKEOFF,NORMAL,103,647,13282023,13282024,13283985,13284635,1962,1,650
33,LAND,NORMAL,281,797,13282202,13282203,13288441,13289239,6239,1,798
34,TAKEOFF,NORMAL,273,275,13282195,13282196,13287901,13288177,5706,1,276
35,TAKEOFF,NORMAL,119,393,13282041,13282043,13284774,13285169,2733,2,395
36,LAND,EMERGENCY,350,785,13282274,13282274,13290170,13290959,7896,0,789
37,LAND,NORMAL,433,418,13282358,13282358,13293672,13294093,11314,0,421
38,TAKEOFF,EMERGENCY,290,318,13282216,13282217,13288562,13288887,6346,1,325
39,LAND,NORMAL,420,745,13282348,13282349,13293169,13293919,10821,1,750
40,LAND,EMERGENCY,483,378,13282411,13282412,13295145,13295527,12734,1,382
41,LAND,NORMAL,172,530,13282101,13282102,13285836,13286369,3735,1,533
42,LAND,NORMAL,33,740,13281964,13281964,13283241,13283984,1277,0,743
43,TAKEOFF,EMERGENCY,463,347,13282398,13282398,13294791,13295145,12393,0,354
44,TAKEOFF,NORMAL,187,604,13282122,13282122,13286553,13287159,4431,0,606
45,TAKEOFF,NORMAL,7,706,13281944,13281944,13282367,13283077,423,0,710
46,TAKEOFF,NORMAL,497,415,13282436,13282437,13295527,13295946,13091,1,419
47,TAKEOFF,NORMAL,184,716,13282125,13282125,13286625,13287345,4500,0,720
48,TAKEOFF,NORMAL,239,799,13282185,13282187,13287760,13288562,5575,2,802
49,TAKEOFF,NORMAL,8,591,13281955,13281955,13282646,13283241,691,0,595
