FlightID,Type,Priority,ArrivalMs,ServiceMs,TRequested,TGranted,TStarted,TFinished,WaitMs,SchedulerDelayMs,RunwayTimeMs
0,TAKEOFF,NORMAL,315,789,13349614,13349615,13364028,13364819,14414,1,791
1,TAKEOFF,NORMAL,13,377,13349312,13349313,13349313,13349691,1,1,378
2,TAKEOFF,EMERGENCY,257,760,13349557,13349557,13359583,13360347,10026,0,764
3,TAKEOFF,NORMAL,52,644,13349352,13349352,13350091,13350738,739,0,647
4,TAKEOFF,NORMAL,350,732,13349650,13349650,13366532,13367268,16882,0,736
5,TAKEOFF,NORMAL,431,339,13349731,13349732,13370012,13370351,20281,1,339
6,LAND,NORMAL,56,278,13349357,13349357,13350604,13350885,1247,0,281
7,TAKEOFF,EMERGENCY,417,427,13349718,13349718,13368936,13369365,19218,0,429
8,TAKEOFF,NORMAL,10,777,13349312,13349312,13349312,13350091,0,0,779
9,TAKEOFF,NORMAL,441,706,13349743,13349743,13370324,13371031,20581,0,707
10,TAKEOFF,NORMAL,469,565,13349771,13349771,13371818,13372388,22047,0,570
11,LAND,NORMAL,88,638,13349391,13349391,13351506,13352145,2115,0,639
12,LAND,NORMAL,9,552,13349314,13349314,13349691,13350246,377,0,555
13,LAND,EMERGENCY,386,508,13349692,13349692,13368072,13368584,18380,0,512
14,LAND,NORMAL,289,724,13349596,13349597,13362997,13363722,13401,1,725
15,LAND,NORMAL,362,643,13349670,13349670,13367674,13368320,18004,0,646
16,LAND,NORMAL,411,746,13349719,13349719,13369264,13370011,19545,0,747
17,LAND,NORMAL,178,349,13349487,13349487,13356797,13357147,7310,0,350
18,LAND,NORMAL,129,673,13349439,13349439,13353773,13354449,4334,0,676
19,LAND,NORMAL,466,750,13349776,13349777,13371885,13372637,22109,1,752
20,LAND,NORMAL,443,788,13349754,13349754,13370352,13371142,20598,0,790
21,LAND,EMERGENCY,103,400,13349414,13349414,13352597,13353005,3183,0,408
22,LAND,NORMAL,297,689,13349608,13349609,13363954,13364648,14346,1,694
23,TAKEOFF,NORMAL,279,604,13349592,13349592,13362390,13362996,12798,0,606
24,TAKEOFF,NORMAL,457,362,13349771,13349771,13371448,13371818,21677,0,370
25,LAND,NORMAL,398,448,13349714,13349714,13368811,13369264,19097,0,453
26,LAND,NORMAL,281,369,13349598,13349598,13363294,13363668,13696,0,374
27,TAKEOFF,EMERGENCY,50,766,13349369,13349369,13350738,13351506,1369,0,768
28,LAND,NORMAL,495,394,13349815,13349815,13373938,13374336,24123,0,398
