FlightID,Type,Priority,ArrivalMs,ServiceMs,TRequested,TGranted,TStarted,TFinished,WaitMs,SchedulerDelayMs,RunwayTimeMs
125,LAND,NORMAL,331,760,13416436,13416436,13435219,13435983,18783,0,764
126,TAKEOFF,NORMAL,331,488,13416436,13416437,13435287,13435777,18851,1,490
127,TAKEOFF,NORMAL,349,765,13416455,13416455,13436222,13436990,19767,0,768
128,TAKEOFF,NORMAL,141,657,13416253,13416253,13425414,13426073,9161,0,659
129,LAND,NORMAL,116,787,13416228,13416228,13423506,13424296,7278,0,790
130,TAKEOFF,NORMAL,326,542,13416439,13416439,13435457,13436000,19018,0,543
131,LAND,NORMAL,500,450,13416615,13416615,13440965,13441417,24350,0,452
132,LAND,NORMAL,303,726,13416417,13416417,13433631,13434359,17214,0,728
133,LAND,NORMAL,397,672,13416511,13416511,13438621,13439295,22110,0,674
134,LAND,EMERGENCY,410,745,13416524,13416525,13439486,13440233,22962,1,747
135,TAKEOFF,NORMAL,390,777,13416505,13416505,13438428,13439213,21923,0,785
136,LAND,NORMAL,350,640,13416465,13416465,13436856,13437498,20391,0,642
137,TAKEOFF,NORMAL,428,765,13416547,13416547,13440571,13441338,24024,0,767
138,LAND,NORMAL,109,565,13416228,13416228,13423289,13423857,7061,0,568
139,LAND,NORMAL,23,723,13416143,13416143,13420278,13421006,4135,0,728
140,LAND,NORMAL,365,312,13416486,13416487,13437498,13437811,21012,1,313
141,TAKEOFF,NORMAL,251,492,13416373,13416373,13430822,13431317,14449,0,495
142,TAKEOFF,NORMAL,456,584,13416579,13416580,13440676,13441267,24097,1,591
143,LAND,NORMAL,403,281,13416528,13416528,13440059,13440342,23531,0,283
144,TAKEOFF,NORMAL,309,412,13416434,13416435,13435057,13435470,18623,1,413
145,TAKEOFF,NORMAL,132,382,13416258,13416258,13425723,13426106,9465,0,383
146,LAND,NORMAL,249,740,13416376,13416376,13430984,13431731,14608,0,747
147,TAKEOFF,NORMAL,404,729,13416532,13416532,13440234,13440965,23702,0,731
148,TAKEOFF,NORMAL,150,513,13416278,13416279,13426467,13426982,10189,1,515
149,TAKEOFF,NORMAL,329,790,13416458,13416458,13436230,13437021,19772,0,791
150,LAND,NORMAL,107,301,13416236,13416236,13424390,13424693,8154,0,303
151,LAND,NORMAL,62,429,13416192,13416192,13422452,13422882,6260,0,430
152,TAKEOFF,NORMAL,95,506,13416228,13416228,13423858,13424365,7630,0,507
153,TAKEOFF,NORMAL,99,397,13416232,13416232,13424297,13424699,8065,0,402
154,TAKEOFF,NORMAL,187,698,13416321,13416321,13428854,13429556,12533,0,702
155,TAKEOFF,NORMAL,65,337,13416202,13416202,13422806,13423147,6604,0,341
156,TAKEOFF,NORMAL,492,571,13416631,13416632,13441267,13441841,24636,1,574
157,LAND,NORMAL,133,346,13416273,13416273,13426120,13426467,9847,0,347
158,TAKEOFF,NORMAL,385,234,13416528,13416528,13439999,13440234,23471,0,235
159,TAKEOFF,EMERGENCY,471,754,13416615,13416615,13440970,13441725,24355,0,755
160,TAKEOFF,EMERGENCY,223,260,13416370,13416370,13430666,13430929,14296,0,263
161,TAKEOFF,NORMAL,494,309,13416646,13416646,13441338,13441652,24692,0,314
162,TAKEOFF,NORMAL,300,795,13416453,13416454,13436000,13436801,19547,1,801
163,LAND,NORMAL,217,256,13416373,13416373,13430727,13430984,14354,0,257
164,LAND,NORMAL,245,607,13416404,13416404,13432915,13433523,16511,0,608
165,LAND,NORMAL,93,284,13416255,13416255,13425436,13425722,9181,0,286
166,TAKEOFF,NORMAL,338,211,13416502,13416503,13438250,13438463,21748,1,213
167,LAND,NORMAL,365,441,13416533,13416533,13440234,13440676,23701,0,442
168,LAND,EMERGENCY,131,423,13416302,13416303,13427916,13428342,11614,1,426
169,LAND,NORMAL,141,768,13416314,13416314,13428224,13428996,11910,0,772
170,TAKEOFF,NORMAL,333,238,13416508,13416508,13438463,13438703,21955,0,240
171,LAND,NORMAL,181,351,13416357,13416358,13430011,13430365,13654,1,354
172,LAND,NORMAL,301,262,13416481,13416481,13437160,13437423,20679,0,263
173,TAKEOFF,NORMAL,138,589,13416320,13416320,13428570,13429161,12250,0,591
174,TAKEOFF,NORMAL,30,621,13416213,13416214,13422882,13423505,6669,1,623
175,TAKEOFF,NORMAL,248,414,13416433,13416433,13434871,13435287,18438,0,416
176,LAND,NORMAL,289,711,13416476,13416476,13437021,13437736,20545,0,715
177,LAND,NORMAL,189,769,13416377,13416378,13431318,13432088,14941,1,770
178,TAKEOFF,EMERGENCY,109,495,13416299,13416300,13427666,13428161,11367,1,495
179,TAKEOFF,NORMAL,35,422,13416229,13416229,13423901,13424323,7672,0,422
180,LAND,NORMAL,343,227,13416539,13416539,13440343,13440570,23804,0,227
181,TAKEOFF,NORMAL,176,243,13416374,13416374,13430929,13431177,14555,0,248
182,TAKEOFF,NORMAL,106,689,13416308,13416308,13428161,13428853,11853,0,692
183,LAND,NORMAL,113,322,13416319,13416319,13428430,13428757,12111,0,327
184,LAND,NORMAL,447,770,13416654,13416655,13441417,13442188,24763,1,771
185,TAKEOFF,NORMAL,279,368,13416490,13416490,13437737,13438108,21247,0,371
186,TAKEOFF,NORMAL,106,224,13416319,13416319,13428342,13428570,12023,0,228
187,LAND,NORMAL,36,292,13416250,13416250,13425119,13425414,8869,0,295
188,LAND,NORMAL,148,782,13416363,13416363,13430171,13430954,13808,0,783
189,LAND,NORMAL,270,403,13416486,13416486,13437424,13437827,20938,0,403
190,TAKEOFF,NORMAL,24,613,13416241,13416241,13424693,13425311,8452,0,618
191,LAND,NORMAL,186,328,13416407,13416407,13433523,13433856,17116,0,333
192,LAND,NORMAL,439,658,13416662,13416662,13441652,13442311,24990,0,659
193,LAND,NORMAL,294,769,13416517,13416517,13439213,13439986,22696,0,773
194,TAKEOFF,NORMAL,123,378,13416352,13416352,13429751,13430133,13399,0,382
195,LAND,NORMAL,157,728,13416386,13416386,13431731,13432466,15345,0,735
196,LAND,NORMAL,449,411,13416679,13416680,13441726,13442142,25047,1,416
197,LAND,EMERGENCY,183,357,13416419,13416419,13433934,13434298,17515,0,364
198,LAND,NORMAL,9,463,13416247,13416247,13424972,13425436,8725,0,464
199,LAND,NORMAL,271,779,13416511,13416512,13438703,13439486,22192,1,783
