FlightID,Type,Priority,ArrivalMs,ServiceMs,TRequested,TGranted,TStarted,TFinished,WaitMs,SchedulerDelayMs,RunwayTimeMs
0,TAKEOFF,NORMAL,39,527,13416010,13416011,13416011,13416539,1,1,528
1,TAKEOFF,NORMAL,326,661,13416298,13416298,13427250,13427916,10952,0,666
2,TAKEOFF,NORMAL,420,561,13416393,13416393,13431964,13432527,15571,0,563
3,TAKEOFF,NORMAL,25,654,13415998,13415998,13415998,13416653,0,0,655
4,LAND,NORMAL,279,332,13416252,13416253,13425311,13425647,9059,1,336
5,LAND,NORMAL,289,341,13416263,13416263,13425778,13426120,9515,0,342
6,TAKEOFF,NORMAL,325,405,13416299,13416299,13427254,13427665,10955,0,411
7,TAKEOFF,NORMAL,79,781,13416053,13416054,13416653,13417435,600,1,782
8,TAKEOFF,NORMAL,400,454,13416375,13416375,13430954,13431411,14579,0,457
9,TAKEOFF,EMERGENCY,239,310,13416214,13416214,13422975,13423288,6761,0,313
10,LAND,NORMAL,451,213,13416429,13416429,13434359,13434574,17930,0,215
11,LAND,NORMAL,204,694,13416182,13416182,13422108,13422806,5926,0,698
12,TAKEOFF,NORMAL,388,453,13416368,13416368,13430366,13430821,13998,0,455
13,TAKEOFF,NORMAL,415,387,13416396,13416396,13432526,13432914,16130,0,388
14,TAKEOFF,NORMAL,449,642,13416430,13416430,13434574,13435218,18144,0,644
15,LAND,NORMAL,53,529,13416034,13416035,13416035,13416565,1,1,530
16,LAND,NORMAL,236,566,13416218,13416218,13423142,13423713,6924,0,571
17,TAKEOFF,NORMAL,290,378,13416273,13416273,13426106,13426485,9833,0,379
18,LAND,NORMAL,252,750,13416235,13416236,13424365,13425119,8130,1,754
19,LAND,NORMAL,419,703,13416403,13416403,13432913,13433619,16510,0,706
20,TAKEOFF,NORMAL,205,570,13416189,13416189,13422402,13422975,6213,0,573
21,LAND,NORMAL,190,446,13416175,13416175,13421955,13422402,5780,0,447
22,TAKEOFF,NORMAL,73,589,13416059,13416059,13417337,13417930,1278,0,593
23,LAND,NORMAL,0,228,13415986,13415989,13415989,13416217,3,3,228
24,LAND,EMERGENCY,415,750,13416401,13416402,13432880,13433631,16479,1,751
25,LAND,NORMAL,388,781,13416376,13416376,13431177,13431964,14801,0,787
26,TAKEOFF,NORMAL,103,375,13416092,13416093,13418229,13418605,2137,1,376
27,TAKEOFF,NORMAL,46,275,13416035,13416036,13416217,13416492,182,1,275
28,LAND,EMERGENCY,391,607,13416381,13416381,13431411,13432020,15030,0,609
29,TAKEOFF,NORMAL,156,534,13416146,13416146,13420809,13421344,4663,0,535
30,TAKEOFF,NORMAL,428,680,13416418,13416419,13433856,13434538,17438,1,682
31,TAKEOFF,EMERGENCY,159,311,13416150,13416150,13421006,13421318,4856,0,312
32,LAND,EMERGENCY,432,571,13416423,13416423,13434298,13434871,17875,0,573
33,LAND,NORMAL,191,402,13416183,13416183,13422222,13422628,6039,0,406
34,TAKEOFF,EMERGENCY,359,226,13416352,13416352,13429556,13429783,13204,0,227
35,TAKEOFF,NORMAL,61,391,13416054,13416056,13417014,13417405,960,2,391
36,LAND,NORMAL,188,344,13416181,13416181,13422107,13422452,5926,0,345
37,TAKEOFF,NORMAL,239,658,13416232,13416234,13424324,13424983,8092,2,659
38,TAKEOFF,NORMAL,362,462,13416356,13416356,13429784,13430249,13428,0,465
39,LAND,NORMAL,357,613,13416352,13416352,13429394,13430011,13042,0,617
40,TAKEOFF,EMERGENCY,99,742,13416094,13416094,13418482,13419227,2388,0,745
41,LAND,EMERGENCY,80,470,13416076,13416078,13417705,13418176,1629,2,471
42,LAND,NORMAL,92,303,13416089,13416090,13418177,13418481,2088,1,304
43,TAKEOFF,NORMAL,269,472,13416266,13416267,13426073,13426546,9807,1,473
44,TAKEOFF,NORMAL,257,316,13416255,13416255,13425648,13425968,9393,0,320
45,TAKEOFF,EMERGENCY,123,755,13416122,13416123,13419520,13420277,3398,1,757
46,LAND,NORMAL,289,758,13416290,13416291,13426982,13427742,10692,1,760
47,LAND,NORMAL,482,599,13416485,13416485,13437353,13437954,20868,0,601
48,LAND,NORMAL,206,259,13416210,13416210,13422882,13423142,6672,0,260
49,LAND,NORMAL,324,266,13416329,13416329,13428996,13429264,12667,0,268
50,TAKEOFF,NORMAL,324,724,13416331,13416331,13429111,13429837,12780,0,726
51,LAND,EMERGENCY,40,520,13416047,13416048,13416492,13417013,445,1,521
52,TAKEOFF,NORMAL,45,721,13416054,13416055,13416979,13417704,925,1,725
53,TAKEOFF,NORMAL,451,413,13416460,13416461,13436441,13436856,19981,1,415
54,LAND,NORMAL,430,238,13416440,13416440,13435470,13435713,19030,0,243
55,TAKEOFF,NORMAL,237,793,13416248,13416248,13424983,13425778,8735,0,795
56,TAKEOFF,NORMAL,75,737,13416087,13416088,13418072,13418814,1985,1,742
57,LAND,NORMAL,38,409,13416052,13416052,13416565,13416979,513,0,414
58,LAND,NORMAL,495,710,13416510,13416510,13438610,13439321,22100,0,711
59,LAND,NORMAL,284,479,13416300,13416300,13427743,13428224,11443,0,481
60,LAND,EMERGENCY,81,457,13416098,13416098,13418596,13419058,2498,0,462
61,TAKEOFF,NORMAL,303,350,13416321,13416321,13428757,13429111,12436,0,354
62,TAKEOFF,NORMAL,285,473,13416304,13416304,13427954,13428430,11650,0,476
63,LAND,NORMAL,443,355,13416463,13416463,13436801,13437159,20338,0,358
64,LAND,NORMAL,219,271,13416242,13416243,13424699,13424972,8457,1,273
65,LAND,NORMAL,373,384,13416399,13416399,13432527,13432912,16128,0,385
66,TAKEOFF,EMERGENCY,334,592,13416361,13416362,13430133,13430727,13772,1,594
67,LAND,NORMAL,310,229,13416339,13416340,13429161,13429393,12822,1,232
68,TAKEOFF,NORMAL,80,682,13416110,13416111,13419228,13419918,3118,1,690
69,LAND,NORMAL,62,200,13416093,13416094,13418394,13418596,2301,1,202
70,TAKEOFF,EMERGENCY,70,784,13416102,13416102,13418605,13419393,2503,0,788
71,TAKEOFF,NORMAL,363,392,13416396,13416396,13432467,13432862,16071,0,395
72,TAKEOFF,NORMAL,252,707,13416286,13416286,13426547,13427254,10261,0,707
73,LAND,NORMAL,397,281,13416432,13416432,13434829,13435111,18397,0,282
74,TAKEOFF,EMERGENCY,262,313,13416297,13416298,13427112,13427429,10815,1,317
75,LAND,NORMAL,96,584,13416132,13416132,13419526,13420114,3394,0,588
76,TAKEOFF,EMERGENCY,454,438,13416491,13416491,13437811,13438250,21320,0,439
77,LAND,NORMAL,47,250,13416085,13416086,13417978,13418229,1893,1,251
78,LAND,NORMAL,411,452,13416449,13416449,13435777,13436229,19328,0,452
79,TAKEOFF,NORMAL,36,460,13416077,13416078,13417930,13418393,1853,1,463
80,LAND,NORMAL,323,416,13416364,13416364,13430249,13430666,13885,0,417
81,TAKEOFF,NORMAL,128,760,13416169,13416169,13421344,13422107,5175,0,763
82,LAND,NORMAL,21,571,13416062,13416063,13417406,13417978,1344,1,572
83,LAND,EMERGENCY,315,332,13416357,13416357,13429837,13430170,13480,0,333
84,LAND,NORMAL,32,635,13416074,13416077,13417435,13418072,1361,3,637
85,TAKEOFF,NORMAL,6,797,13416048,13416049,13416539,13417337,491,1,798
86,TAKEOFF,NORMAL,348,790,13416394,13416394,13432089,13432879,15695,0,790
87,LAND,NORMAL,448,653,13416494,13416495,13437954,13438609,21460,1,655
88,LAND,NORMAL,217,536,13416264,13416265,13425969,13426505,9705,1,536
89,LAND,EMERGENCY,473,736,13416522,13416522,13439321,13440058,22799,0,737
90,TAKEOFF,NORMAL,475,654,13416525,13416525,13439986,13440642,23461,0,656
91,TAKEOFF,NORMAL,343,504,13416393,13416393,13432020,13432526,15627,0,506
92,TAKEOFF,EMERGENCY,230,623,13416284,13416285,13426485,13427111,10201,1,626
93,LAND,NORMAL,465,703,13416519,13416520,13439296,13439999,22777,1,703
94,LAND,NORMAL,439,793,13416494,13416494,13437827,13438621,21333,0,794
95,TAKEOFF,EMERGENCY,369,515,13416429,13416429,13434538,13435057,18109,0,519
96,TAKEOFF,NORMAL,436,316,13416496,13416496,13438108,13438428,21612,0,320
97,LAND,NORMAL,78,693,13416138,13416139,13420115,13420809,3977,1,694
98,TAKEOFF,NORMAL,78,511,13416143,13416143,13420719,13421232,4576,0,513
99,LAND,NORMAL,128,251,13416193,13416193,13422629,13422882,6436,0,253
100,LAND,NORMAL,219,741,13416285,13416286,13426506,13427250,10221,1,744
101,TAKEOFF,EMERGENCY,364,342,13416435,13416435,13435111,13435456,18676,0,345
102,TAKEOFF,NORMAL,65,676,13416137,13416137,13420115,13420793,3978,0,678
103,TAKEOFF,NORMAL,40,721,13416113,13416113,13419394,13420115,3281,0,721
104,TAKEOFF,NORMAL,224,523,13416299,13416300,13427430,13427954,11131,1,524
105,TAKEOFF,NORMAL,327,453,13416405,13416405,13433479,13433934,17074,0,455
106,LAND,EMERGENCY,262,482,13416341,13416341,13429265,13429751,12924,0,486
107,TAKEOFF,NORMAL,321,603,13416401,13416401,13432863,13433479,16462,0,616
108,TAKEOFF,NORMAL,342,531,13416423,13416423,13434291,13434828,17868,0,537
109,LAND,EMERGENCY,63,480,13416145,13416145,13420793,13421275,4648,0,482
110,TAKEOFF,NORMAL,137,751,13416220,13416220,13423148,13423900,6928,0,752
111,LAND,NORMAL,18,702,13416102,13416103,13418814,13419519,2712,1,705
112,TAKEOFF,NORMAL,490,326,13416575,13416576,13440643,13440969,24068,1,326
113,TAKEOFF,NORMAL,46,797,13416134,13416134,13419919,13420719,3785,0,800
114,TAKEOFF,NORMAL,319,379,13416408,13416408,13433619,13434000,17211,0,381
115,TAKEOFF,NORMAL,137,675,13416228,13416228,13423714,13424390,7486,0,676
116,LAND,EMERGENCY,13,466,13416108,13416108,13419059,13419525,2951,0,466
117,LAND,NORMAL,348,723,13416445,13416445,13435714,13436441,19269,0,727
118,TAKEOFF,EMERGENCY,371,358,13416468,13416468,13436990,13437352,20522,0,362
119,LAND,NORMAL,60,784,13416158,13416159,13421318,13422106,5160,1,788
120,LAND,NORMAL,75,536,13416174,13416174,13421683,13422222,5509,0,539
121,LAND,NORMAL,57,402,13416156,13416156,13421275,13421683,5119,0,408
122,TAKEOFF,NORMAL,349,237,13416449,13416449,13435984,13436222,19535,0,238
123,LAND,NORMAL,50,716,13416151,13416151,13421232,13421954,5081,0,722
124,TAKEOFF,NORMAL,317,288,13416420,13416420,13434001,13434291,17581,0,290
